x,y,z 
1492.304,61798.399,462.0
1492.304,62296.796,458.0
1492.304,62795.101,457.0
1492.304,63293.497,457.0
1492.304,63791.894,457.0
1492.304,64290.29,454.0
1492.304,64788.595,454.0
1492.304,65286.991,453.0
1492.304,65785.388,451.0
1492.304,66283.784,450.0
1492.304,66782.089,449.0
1492.304,67280.485,448.0
1492.304,67778.881,446.0
1492.304,68277.185,449.0
1492.304,68775.581,449.0
1492.304,69273.977,447.0
1492.304,69772.373,445.0
1492.304,70270.678,445.0
1492.304,70769.073,445.0
1492.304,71267.469,445.0
1492.304,71765.865,446.0
1492.304,72264.169,446.0
1492.304,72762.565,445.0
1492.304,73260.96,446.0
1492.304,73759.356,445.0
1492.304,74257.659,445.0
1492.304,74756.055,446.0
1492.304,75254.45,446.0
1492.304,75752.754,448.0
1492.304,76251.149,446.0
1492.304,76749.544,447.0
1492.304,77247.939,447.0
1492.304,77746.243,445.0
1492.304,78244.638,444.0
1492.304,78743.033,447.0
1492.304,79241.428,444.0
1492.304,79739.731,444.0
1492.304,80238.126,444.0
1492.304,80736.52,443.0
1492.304,81234.915,442.0
1492.304,81733.218,442.0
1492.304,82231.613,444.0
1492.304,82730.007,442.0
1492.304,83228.31,442.0
1492.304,83726.704,441.0
1492.304,84225.098,439.0
1492.304,84723.493,440.0
1492.304,85221.795,440.0
1492.304,85720.189,438.0
1492.304,86218.583,438.0
1492.304,86716.977,439.0
1492.304,87215.28,438.0
1492.304,87713.673,441.0
1492.304,88212.067,437.0
1492.304,88710.461,439.0
1492.304,89208.763,438.0
1492.304,89707.157,437.0
1492.304,90205.55,438.0
1492.304,90703.852,437.0
1492.304,91202.245,438.0
1492.304,91700.639,436.0
1492.304,92199.032,436.0
1492.304,92697.334,434.0
1492.304,93195.727,433.0
1492.304,93694.12,433.0
1492.304,94192.513,435.0
1492.304,94690.814,436.0
1492.304,95189.207,433.0
1492.304,95687.599,434.0
1492.304,96185.992,435.0
1492.304,96684.293,435.0
1492.304,97182.686,436.0
1989.664,0.0,1364.0
1989.664,498.399,1378.0
1989.664,996.707,1387.0
1989.664,1495.107,1395.0
1989.664,1993.506,1409.0
1989.664,2491.906,1416.0
1989.664,2990.214,1421.0
1989.664,3488.613,1418.0
1989.664,3987.013,1411.0
1989.664,4485.412,1397.0
1989.664,4983.72,1380.0
1989.664,5482.12,1366.0
1989.664,5980.519,1350.0
1989.664,6478.919,1342.0
1989.664,6977.227,1353.0
1989.664,7475.626,1363.0
1989.664,7974.025,1373.0
1989.664,8472.333,1385.0
1989.664,8970.733,1399.0
1989.664,9469.132,1430.0
1989.664,9967.532,1453.0
1989.664,10465.839,1424.0
1989.664,10964.239,1374.0
1989.664,11462.638,1355.0
1989.664,11961.038,1349.0
1989.664,12459.346,1363.0
1989.664,12957.745,1358.0
1989.664,13456.144,1335.0
1989.664,13954.544,1377.0
1989.664,14452.851,1294.0
1989.664,14951.251,1265.0
1989.664,15449.65,1228.0
1989.664,15947.958,1159.0
1989.664,16446.357,1146.0
1989.664,16944.756,1107.0
1989.664,17443.156,1091.0
1989.664,17941.463,1106.0
1989.664,18439.863,1037.0
1989.664,18938.262,988.0
1989.664,19436.661,935.0
1989.664,19934.969,883.0
1989.664,20433.368,879.0
1989.664,20931.767,861.0
1989.664,21430.166,787.0
1989.664,21928.474,782.0
1989.664,22426.873,774.0
1989.664,22925.272,768.0
1989.664,23423.58,760.0
1989.664,23921.979,762.0
1989.664,24420.378,751.0
1989.664,24918.777,741.0
1989.664,25417.084,734.0
1989.664,25915.483,722.0
1989.664,26413.882,715.0
1989.664,26912.281,706.0
1989.664,27410.589,699.0
1989.664,27908.988,690.0
1989.664,28407.386,682.0
1989.664,28905.785,676.0
1989.664,29404.093,669.0
1989.664,29902.491,663.0
1989.664,30400.89,657.0
1989.664,30899.198,651.0
1989.664,31397.596,648.0
1989.664,31895.995,644.0
1989.664,32394.394,642.0
1989.664,32892.701,640.0
1989.664,33391.1,634.0
1989.664,33889.498,633.0
1989.664,34387.897,637.0
1989.664,34886.204,644.0
1989.664,35384.603,655.0
1989.664,35883.001,662.0
1989.664,36381.4,654.0
1989.664,36879.707,663.0
1989.664,37378.105,642.0
1989.664,37876.503,621.0
1989.664,38374.81,569.0
1989.664,38873.209,566.0
1989.664,39371.607,568.0
1989.664,39870.005,564.0
1989.664,40368.312,564.0
1989.664,40866.71,559.0
1989.664,41365.109,556.0
1989.664,41863.507,552.0
1989.664,42361.813,550.0
1989.664,42860.212,546.0
1989.664,43358.61,544.0
1989.664,43857.008,539.0
1989.664,44355.314,536.0
1989.664,44853.712,533.0
1989.664,45352.11,531.0
1989.664,45850.417,530.0
1989.664,46348.815,539.0
1989.664,46847.213,558.0
1989.664,47345.61,571.0
1989.664,47843.917,553.0
1989.664,48342.314,536.0
1989.664,48840.712,525.0
1989.664,49339.11,520.0
1989.664,49837.416,522.0
1989.664,50335.814,521.0
1989.664,50834.211,520.0
1989.664,51332.609,518.0
1989.664,51830.915,516.0
1989.664,52329.312,516.0
1989.664,52827.71,514.0
1989.664,53326.016,512.0
1989.664,53824.413,514.0
1989.664,54322.81,510.0
1989.664,54821.207,504.0
1989.664,55319.513,502.0
1989.664,55817.91,498.0
1989.664,56316.308,497.0
1989.664,56814.705,491.0
1989.664,57313.01,489.0
1989.664,57811.407,481.0
1989.664,58309.804,478.0
1989.664,58808.201,475.0
1989.664,59306.507,471.0
1989.664,59804.903,473.0
1989.664,60303.3,468.0
1989.664,60801.606,467.0
1989.664,61300.002,463.0
1989.664,61798.399,463.0
1989.664,62296.796,458.0
1989.664,62795.101,458.0
1989.664,63293.497,455.0
1989.664,63791.894,456.0
1989.664,64290.29,456.0
1989.664,64788.595,453.0
1989.664,65286.991,453.0
1989.664,65785.388,452.0
1989.664,66283.784,449.0
1989.664,66782.089,451.0
1989.664,67280.485,445.0
1989.664,67778.881,453.0
1989.664,68277.185,447.0
1989.664,68775.581,449.0
1989.664,69273.977,445.0
1989.664,69772.373,448.0
1989.664,70270.678,446.0
1989.664,70769.073,447.0
1989.664,71267.469,447.0
1989.664,71765.865,446.0
1989.664,72264.169,446.0
1989.664,72762.565,447.0
1989.664,73260.96,446.0
1989.664,73759.356,444.0
1989.664,74257.659,446.0
1989.664,74756.055,446.0
1989.664,75254.45,447.0
1989.664,75752.754,446.0
1989.664,76251.149,445.0
1989.664,76749.544,447.0
1989.664,77247.939,444.0
1989.664,77746.243,442.0
1989.664,78244.638,445.0
1989.664,78743.033,445.0
1989.664,79241.428,445.0
1989.664,79739.731,443.0
1989.664,80238.126,445.0
1989.664,80736.52,446.0
1989.664,81234.915,445.0
1989.664,81733.218,442.0
1989.664,82231.613,444.0
1989.664,82730.007,442.0
1989.664,83228.31,439.0
1989.664,83726.704,441.0
1989.664,84225.098,440.0
1989.664,84723.493,441.0
1989.664,85221.795,440.0
1989.664,85720.189,439.0
1989.664,86218.583,440.0
1989.664,86716.977,439.0
1989.664,87215.28,442.0
1989.664,87713.673,438.0
1989.664,88212.067,439.0
1989.664,88710.461,439.0
1989.664,89208.763,438.0
1989.664,89707.157,437.0
1989.664,90205.55,439.0
1989.664,90703.852,437.0
1989.664,91202.245,437.0
1989.664,91700.639,437.0
1989.664,92199.032,436.0
1989.664,92697.334,436.0
1989.664,93195.727,433.0
1989.664,93694.12,433.0
1989.664,94192.513,436.0
1989.664,94690.814,435.0
1989.664,95189.207,435.0
1989.664,95687.599,432.0
1989.664,96185.992,435.0
1989.664,96684.293,434.0
1989.664,97182.686,437.0
2487.134,0.0,1403.0
2487.134,498.399,1397.0
2487.134,996.707,1403.0
2487.134,1495.107,1417.0
2487.134,1993.506,1432.0
2487.134,2491.906,1446.0
2487.134,2990.214,1457.0
2487.134,3488.613,1457.0
2487.134,3987.013,1443.0
2487.134,4485.412,1431.0
2487.134,4983.72,1410.0
2487.134,5482.12,1387.0
2487.134,5980.519,1375.0
2487.134,6478.919,1367.0
2487.134,6977.227,1370.0
